Ezek.0.0	¶ The booke of the Prophete Ezechiel.
Ezek.44.8	and not kepte the holy ordynaunces of my sanctuary: but sett kepers of my sanctuary, euen after youre awne mynde.
Ezek.44.9	Therfore thus sayth the Lorde God: Of all the straungers that dwell among the chyldren of Israel, no straunger (whose hert and fleshe is not circumcised) shall come within my sanctuary.
Ezek.44.10	No, ner the leuites that ben gone backe fro me: and haue disceaued the people of Israel with all erroures, goyng after theyr ydoles: therfore shall they beare their awne wyckednes.
Ezek.44.11	Shulde they be set and ordeined to ministre vnder the dores of the house of my sanctuary? And to do seruyce in the house: to slaye burntofferynges and sacrifyces for the people: to stande before them, and to serue them,
Ezek.44.12	seynge the seruyce that they do them, is before theyr ydoles, and cause the house of Israel to stomble thorowe theyr wickednes? For the which cause I haue pluckte oute myne hande ouer them, sayth the Lorde, so that nowe they must beare theyr awne iniquitie,
Ezek.44.13	and not to come nye me, to serue me with theyr presthode, in my sanctuary, and moost holyest of all: that they maye beare theyr awne shame and abhominations, which they haue done.
Ezek.44.14	Shulde I vse them to be porters of the house, and to all the seruyce that is done therin?
Ezek.44.15	But the prestes, the leuites, the sonne of Sadoch, that kepte the holy ordynaunces of my sanctuary, when the chyldren of Israel were gone fro me, shall come to me, to do me seruyce, to stande before me, and to offre me the fat and the bloude, sayth the Lorde God.
Ezek.44.16	They shall go into my sanctuary, and treade before my table: to do me seruyce, and to wayte vpon myne ordynaunces.
Ezek.44.17	Nowe when they go in at the dores of the ynnermer court: they shall put on lynen clothes, so that no wollyne come vpon them whyle they do seruice vnder the dores of the innermer court, and within.
Ezek.44.18	They shall haue fayre linen bonettes vpon their heades, and lynen breches vpon their loynes, which in their labour they shall not put about them.
Ezek.44.19	And when they go forth to the people into the outwarde court, they shall put of the clothes wherin they haue ministred, and laye them in the habitation of the sanctuary, and put on other apparell, lest they vnhalowe the people with theyr clothes.
Ezek.44.20	They shall not shaue theyr heades, ner norysh the bushe of theyr heare, but rounde theyr heades onely.
Ezek.44.21	All the prestes that go into the inmost court, shall dryncke no wyne.
Ezek.44.22	They shall mary no wedowe, nether one that is put from her husbande: but a mayde of the seede of the house of Israel, or a wedowe that hath had a preste before.
Ezek.44.23	They shall shewe my people the difference betwene the holy and vnholy, betwixt the cleane and vncleane.
Ezek.44.24	If any discord arise, they shall discerne it: Ꟶ geue sentence after my iudgementes. My solempne feastes, my lawes and ordinaunces shall they kepe, and halowe my sabbathes.
Ezek.44.25	They shall come at no deed persone to defyle them selues, except it be father or mother, sonne or daughter, brother or syster, that hath had yet no husbande, in soch maye they be defyled.
Ezek.44.26	And when he is clensed, ther shalbe rekened vnto him .vij. dayes:
Ezek.44.27	and yf he go into the sanctuary agayn to do seruice, he shall bring a synoffering, sayth the Lorde God.
Ezek.44.28	They shall haue an heritage: yee, I my selfe wyll be their heritage: els shall ye geue them no possession in Israel, for I am their possessyon.
Ezek.44.29	The meatofferynges, synofferyng and trespaceofferinge shall they eate, Ꟶ euery dedicate thynge in Israel, shalbe theyrs.
Ezek.44.30	The fyrstlinges of all the fyrst frutes, and all frewyllofferinges shalbe the prestes. Ye shall geue vnto the preste also all the fyrst frute of your first borne, all I say, Ꟶ all that is separated vnto God, all youre heueofferinges (I saye) shalbe the prestes, Ꟶ also the fyrstlinges of your dough, that God maye prospere the residue.
Ezek.44.31	But no deed caryon shall the prest eate, ner soch as is deuoured of wilde beastes, foules or catell:
Ezek.45.1	When ye deuyde the lande by the lot, ye shall put asyde one parte for the Lorde, to be holy from other landes: namely .xxv.M. meteroddes longe, and .x.M. broade. This shalbe holy, as wyde as it is rounde about.
Ezek.45.2	Of thys parte there shall belonge vnto the sanctuary .v.C. meteroddes in all the foure corners, Ꟶ .l. cubites wyde rounde about to the suburbes
Ezek.45.3	And from this measure, namely of .xxv.M. meteroddes longe, Ꟶ .x.M. broade, thou shalt measure, wherin the sanctuary and the holyest of all maye stande.
Ezek.45.4	The resydue of that holy grounde shalbe the prestes, which do seruyce in the sanctuary of the Lorde, and goo in before the Lorde to serue hym, that they maye haue rowme to dwell in.
Ezek.45.5	As for the sanctuary, it shall stande for it selfe: and to the leuites that serue in the house, there shalbe geuen .xx. habitatyons, of the .xxv.M. length and .x.M. bredth:
Ezek.45.6	ye shall geue also vnto the citye a possession of .v.M. meteroddes brode, and .xxv.M. longe, beside the parte of the sanctuary: that shalbe for the whole house of Israel.
Ezek.45.7	Upon both the sydes of the sanctuaryes parte, and by the cytie, there shalbe geuen vnto the prince, whatsoeuer lyeth oueragaynst the citye, as farre as reacheth westwarde Ꟶ eastwarde: which shalbe as longe as one parte, from the west vnto the east.
Ezek.45.8	This shalbe hys awne lande in Israel, that my prynces be nomore chargeable vnto my people. And soch as remayneth yet ouer in the lande, shalbe geuen to the house of Israel according to theyr tribes.
Ezek.45.9	Thus sayth the Lord God: O ye princes, ye haue nowe oppressed and destroyed ynough: nowe leaue of, handle nowe according to the thinge that is equall and lawfull: Ꟶ thrust out my people nomore sayth the Lorde God.
Ezek.45.10	Ye shall haue a true weyght, a true ephah, and a true bath.
Ezek.45.11	The ephah and the bath shalbe a lyke. One bath shall conteyne the tenth parte of an homer, and so shall one ephah do: their measure shall be after the homer.
Ezek.45.12	One syckle maketh .xx. geras. So twentye sycles, and .xxv. and .xv. sycles make a pounde.
Ezek.45.13	Thys is the heaueofferynge, that ye shall geue to be heaued: namely, the .xvj. parte of an ephah, out of an homer of wheate, and the .xvj. parte of an ephah, out of an homer of barly.
Ezek.45.14	The oyle shalbe measured with the bath: euen the tenth parte of one bath out of a cor. Ten bathes make one homer: for one homer fylleth ten bathes.
Ezek.45.15	And one lambe from two hundred shepe out of the pasture of Israel: for a meatofferyng, burntofferyng, and healthofferyng, to reconcyle them, sayth the Lorde God.
Ezek.45.16	All the people of the lande shall geue thys heaueofferynge with a fre wyll.
Ezek.45.17	Agayne, it shalbe the princes parte to offre burntofferynges, meateofferinges Ꟶ drinckofferinges vnto the Lord, in the holy dayes, newe moones, sabbathes, and in all the hye feastes of the house of Israel. The synoffering, meateofferyng, burntoffring Ꟶ healthofferyng shall he geue to reconcyle the house of Israel.
Ezek.45.18	Thus sayth the Lorde God: The fyrst daye of the first moneth thou shalt take a yonge bullocke without blemysh, and clense the sanctuarye.
Ezek.45.19	So the preste shall take of the bloude of the synofferyng, and sprynckle it vnto the postes of the house, and vpon the foure corners of the aulter, with the dorepostes of the ynnermer courte.
Ezek.45.20	And thus shalt thou do also the seuenth daye of the moneth (for soch as haue synned of ignoraunce, or beynge disceaued) to reconcyle the house wt all.
Ezek.45.21	Upon the .xiiij. daye of the fyrst moneth, ye shall kepe easter. Seuen dayes shall the feaste contynue, wherin there shall no sowre ner leuened breed be eaten.
Ezek.45.22	Upon the same daye shall the prince geue for him selfe Ꟶ all the people of the lande, a bullocke for a synofferyng.
Ezek.45.23	And in the feast of the seuen dayes he shall offre euery daye a bullocke and a ram, that are without blemysh, for a burntoffering vnto the Lorde: and an hegoate daylye for a synoffering.
Ezek.45.24	For the meatofferynges he shall geue euer an ephah to a bullocke, an ephah to a ram, and an hyn of oyle to an ephah.
Ezek.45.25	Upon the fyftenth daye of the seuenth moneth, he shall kepe the seuen dayes holy, one after another, euen as the other seuen dayes: wt the synoffering, burntoffering, meatoffering, and with the oyle.
Ezek.46.1	Thus saith the Lorde God: the dore of the innermer court towarde the east shalbe shut the .vj. worcking dayes: but in the sabboth and in the daye of the newe moone, it shalbe opened.
Ezek.46.2	Then shall the prince come vnder the dore porche, and stande still wtout by the dore check. So the prestes shall offre vp his burnt and healthofferinges. And he shall worshyp at the doreposte, and go hys waye forth agayne: but the dore shall nomore be shut tyll the euenynge.
Ezek.46.3	On the same maner shall the people of the lande also do their worshyp before the Lorde without thys dore vpon the sabbathes and newe moones.
Ezek.46.4	This is nowe the burntofferyng, that the prince shall bryng vnto the Lorde vpon the sabboth: syxe lambes without blemysh, and a ram without blemish,
Ezek.46.5	Ꟶ an ephah for a meatoffering, with the ram. As for the lambes, he maye geue as many meateofferinges to them as he will: and an hyn of oyle to an ephah.
Ezek.46.6	In the daye of the newe moneth, it shalbe a yonge bullocke without blemish, syxe lambes and a ram also without blemish.
Ezek.46.7	With the bullocke he shall geue an ephah, Ꟶ with the ram an ephah also for a meateoffering: but to the lambes, what he maye come by. And euer an hyn of oyle to an ephah.
Ezek.46.8	When the prynce commeth, he shall go vnder the dore porche, and euen there departe forth agayne.
Ezek.46.9	But when the people of the lande come before the Lord in the hye solempne feaste, as many as come in by the north dore to do worshyp, shall go out agayne at the south dore. And they that come in at the south dore, shall go forth agayne at the north dore. There shall none goo out at the dore, where he came in, but shall go ryght forth ouer on the other syde,
Ezek.46.10	and the prynce shall go in and out amonge them.
Ezek.46.11	Upon the solempne and hye feaste dayes this shalbe the meatofferyng. An epha to a bullocke and an ephah to a ram, and to the lambes, as many as he will: but euer an hyn of oyle to an ephah.
Ezek.46.12	Nowe when the prynce bryngeth a burntofferyng or an healthofferinge with a fre wyll vnto the Lorde, the east dore shalbe opened vnto hym, that he maye do with his burnt and healthofferinges, as he doth vpon the sabboth: and when he goth forth, the dore shalbe shut after him agayne.
Ezek.46.13	He shall dayly bryng vnto the Lorde a lambe of a yeare olde without blemysh for a burntoffering: this shall he do euery morning.
Ezek.46.14	And for a meatoffering, he shall geue the syxte parte of an epha, and the thyrd part of an hyn of oyle, to myngle with the cakes, euery morning. Yee, this shalbe a dayly meatofferinge vnto the Lorde: for an euerlasting ordinaunce:
