Gen.0.0	¶ The fyrst booke of Moses / called in the Hebrue Bereschit : and in the latyn: Genesis.
Gen.46.34	ye shall answere: thy seruauntes haue bene men occupyed aboute catell, from our chyldhode vnto thys tyme, we and oure fathers, that ye maye dwell in the lande of Gosan. For euery shepe keper is abhominacyon vnto the Egypcyans.
Gen.47.1	Ioseph came therfore and tolde Pharao and sayde: my father and my brethren, theyr shepe and their oxen and all that they haue, are come out of the lande of Canaan,
Gen.47.2	and beholde, they are in the lande of Gosan. And Ioseph toke of the hynmost of hys brethren: euen fyue men, and presented them vnto Pharao.
Gen.47.3	And pharao sayde vnto hys brethren: what is youre occupacyon? And they answered Pharao: shepherdes are thy seruauntes, both we Ꟶ also oure fathers.
Gen.47.4	They sayde moreouer vnto Pharao: for to sogeorne in the lande are we come, for thy seruauntes haue no pasture for theyr shepe, so sore is the fameshment in the lande of Canaan. Nowe therfore let thy seruauntes dwell in the lande of Gosan.
Gen.47.5	And Pharao sayde vnto Ioseph: thy father and thy brethren are come vnto the.
Gen.47.6	The land of Egypte is before the: In the best place of the lande make both thy father and thy brethren dwell: euen in the lande of Gosan let them dwell. Moreouer yf thou knowe any men of actiuite amonge them, make them ruelars ouer my catell.
Gen.47.7	And Ioseph brought in Iacob hys father, and sett hym before Pharao. And Iacob blessed Pharao.
Gen.47.8	And Pharao sayde vnto Iacob: howe olde art thou?
Gen.47.9	Iacob sayde vnto Pharao: the dayes of my pilgremage are an hundred and .xxx. yeares. Fewe Ꟶ euell haue the dayes of my lyfe bene, and haue not attayned vnto the yeares of the lyfe of my fathers in the dayes of theyr pilgremages.
Gen.47.10	And Iacob blessed Pharao, and went out from hym.
Gen.47.11	And Ioseph prepared dwellynges for hys father and hys brethren, and gaue them possessyons in the land of Egypte, in the best of the lande: euen in the lande of Rameses, as Pharao had commaunded.
Gen.47.12	And Ioseph made prouisyon for hys father, hys brethren Ꟶ all his fathers housholde wyth bread, euen as yonge chyldren are fedd.
Gen.47.13	There was no bread in all the lande, for the derth was exceadynge sore: so that the lande of Egypte and the lande of Canaan, were fameshed by the reason of the derth.
Gen.47.14	And Ioseph brought together all the money that was founde in the lande of Egypte and of Canaan, for the corne whych they boughte: and he layde vp the money in Pharaos house.
Gen.47.15	When money fayled in the lande of Egypte Ꟶ of Canaan, all the Egypcyans came vnto Ioseph and sayde: geue vs bred: wherfore suffrest thou vs to dye before the whan oure money is spent?
Gen.47.16	Then sayde Ioseph: brynge youre catell, Ꟶ I wyll geue yow for your catell, yf ye be without money.
Gen.47.17	And they brought theyr catell vnto Ioseph. And Ioseph gaue them bread for horses Ꟶ shepe, and oxen, and asses, and fed them wyth bread for all theyr catell that yeare.
Gen.47.18	But when that yeare was ended, they came vnto hym the nexte yeare, Ꟶ sayde vnto him: we will not hyde it from my Lord how that oure money is spent, my Lord also had our catell Ꟶ beastes, neyther is there ought left in the syght of my Lorde, but euen oure bodies and our landes.
Gen.47.19	Wherfore lettest thou vs dye before thyne eyes, Ꟶ the lande to goo to noughte? by vs Ꟶ our landes for bread: Ꟶ both we and oure landes will be bonde to Pharao. Onely geue vs seed, that we maye lyue and not dye, Ꟶ that the lande goo nat to wast.
Gen.47.20	And so Ioseph boughte all the land of Egypte for Pharao. For the Egypcians solde euery man hys lande because the derth was sore vpon them: Ꟶ so the lande became Pharaos.
Gen.47.21	And he appoynted the people vnto the cyties, from one syde of Egypte vnto the other:
Gen.47.22	only the lande of the Prestes bought he not. For the prestes had an ordinaunce of Pharao, that they shulde eate that which was appoynted vnto them: which Pharao had geuen them wherfore they solde not theyr landes.
Gen.47.23	Then Ioseph sayde vnto the folke: beholde I haue boughte you thys daye Ꟶ youre lande for Pharao. Take there bread Ꟶ sede Ꟶ sowe the land.
Gen.47.24	And of the encrease, ye shall geue the fyfte parte vnto Pharao, Ꟶ .iiij. partes shalbe youre awne, for seed of the feld: Ꟶ for you, and them of youre housholdes, and for youre chyldren, to eate.
Gen.47.25	And they answered: Thou haste saued oure lyues. Let vs fynde grace in the syghte of my Lord, Ꟶ we wyll be Pharaos seruauntes.
Gen.47.26	And Ioseph made it a lawe ouer the lande of Egypte vnto thys daye: that Pharao shulde haue the fyfte parte, excepte the lande of the preastes only, whych was not Pharaos.
Gen.47.27	And Israel dwelt in Egypte: euen in the countre of Gosan. And they had theyr possessyons therin, Ꟶ grewe and multiplied exceadyngly.
Gen.47.28	Moreouer, Iacob lyued in the lande of Egypte .xvij. yeares, so that the hole age of Iacob was an hundred and .xlvij. yeare.
Gen.47.29	When the tyme drewe nye, that Israel must dye: he sent for his sonne Ioseph, Ꟶ sayde vnto hym: If I haue founde grace in thy syghte, oh, put thy hande nowe vnder my thye, and deale mercyfully and truely wt me, that thou burye me not in Egypte:
Gen.47.30	but I will lye with my fathers, and thou shalt carye me out of Egypte, Ꟶ burye me in theyr buryall. And he answered: I wyll do as thou hast sayd.
Gen.47.31	And he sayde swere vnto me. And he sware vnto hym. And Israel, worshypped towarde the beddes head.
Gen.48.1	After these deades it happened, that a messaunger sayde vnto Ioseph: thy father is sycke. And he toke wt him his .ii. sonnes, Manasses Ꟶ Ephraim.
Gen.48.2	Then was it sayd vnto Iacob: beholde, thy sonne Ioseph commeth vnto the. And Israel toke his strength vnto hym, Ꟶ satt vp on the bedd,
Gen.48.3	Ꟶ Iacob sayde vnto Ioseph: God allmyghtie apeared vnto me at Lus in the lande of Canaan, Ꟶ blessed me,
Gen.48.4	Ꟶ sayde vnto me: beholde, I wyll make the growe, Ꟶ wyll multiplye the, Ꟶ wyll make a great nombre of people of the, and wyll geue thys land vnto thy seed after the vnto an euerlastyng possessyon.
Gen.48.5	And now thy .ii. sonnes Manasses Ꟶ Ephraim which were borne vnto the in the lande of Egypte, before I came to the in to Egypte, are myne: euen as Ruben Ꟶ Symeon are myne.
Gen.48.6	And the children which thou hast gotten after them, shalbe thyne awne: Ꟶ shalbe called after the names of theyr brethren in theyr enheritaunce.
Gen.48.7	And whan I came from Mesopotamia, Rahel dyed vpon my hand in the lande of Canaan, by the waye: when ther was but a feldes brede to come vnto Ephrat. And I buryed her there in the waye to Ephrat. The same is Bethlehem.
Gen.48.8	And Israel behelde Iosephs sonnes and sayde: what are these?
Gen.48.9	Ioseph sayd vnto his father: they are my sonnes which God hathe geuen me here. And he sayde: oh, brynge them to me, Ꟶ let me blesse them.
Gen.48.10	And the eyes of Israel were dymme for age, so that he coulde not well see. And he broughte them to hym, and he kyssed them and embraced them.
Gen.48.11	And Israel sayde vnto Ioseph: I had not thought to haue sene thy face, and yet loo, God hath shewed it me and also thy seed.
Gen.48.12	And Ioseph toke them awaye from his lappe, Ꟶ worshypped on the grounde before hym.
Gen.48.13	Than toke Ioseph them both: Ephraim with his ryghte hande towarde Israels left hande, Ꟶ Manasses wt hys left hande, towarde Israels ryghte hande, Ꟶ brought them vnto hym.
Gen.48.14	And Israel stretched out hys ryghte hande Ꟶ layde it vpon Ephraims heade which was the yonger, Ꟶ hys lyfte hande vpon Manasses heed, gydinge hys handes wysely, for Manasses was the elder.
Gen.48.15	And he blessed Ioseph Ꟶ sayde: God, before whome my fathers Abraham Ꟶ Isahac dyd walke, God whych hath fedd me all my lyfe longe vnto thys daye,
Gen.48.16	And the angell whych hath delyuered me from all euyll, blesse these laddes: Ꟶ let my name be named in them, Ꟶ the name of my fathers Abraham Ꟶ Isahac, Ꟶ that they maye growe into a multitude in the myddes of the erth.
Gen.48.17	When Ioseph sawe that hys father layde hys ryghte hande vpon the heade of Ephraim, it displeased him. And he lyfte vp his fathers hande, to haue remoued it from Ephraims heade vnto Manasses heade,
Gen.48.18	Ꟶ Ioseph sayde vnto hys father: Not so my father, for thys is the eldest. Put thy ryght hande vpon hys heade.
Gen.48.19	And hys father wolde not, but sayde: I knowe it well my sonne, I knowe it well. He shalbe also a people Ꟶ shalbe great. But hys yonger brother shalbe greatter than he, and hys seed shall be full of people.
Gen.48.20	And he blessed them that daye and sayde: In the let Israel blesse Ꟶ saye: God make the as Ephraim and as Manasses. And sett Ephraim before Manasses.
Gen.48.21	And Israel sayde vnto Ioseph: beholde, I dye. And God shalbe wyth you and brynge you agayne vnto the lande of youre fathers.
Gen.48.22	Moreouer I haue geuen vnto the, a porcyon of lande aboue thy brethren, which I gatt out of the hande of the Amorite in my swerde and in my bowe.
Gen.49.1	And Iacob called for hys sonnes and sayde: come together, that I maye tell you what shall happen you in the last dayes.
Gen.49.2	Gather you to gether, and heare ye sonnes of Iacob, herken vnto Israel youre father.
Gen.49.3	Ruben myne eldest sonne, thou art my myghte and the beginnynge of my strength, the noblenesse of dignyte, and the noblenesse of power.
Gen.49.4	Unstable as water. Thou shalt not be the chefest, because thou wentest vp to thy fathers bed. Euen then dyddest thou defyle it, Ꟶ it was nomore my couche.
Gen.49.5	The brethren Simeon and Leui, cruell instrumentes in their habitacions.
Gen.49.6	In to their secretes come not my soule, vnto their congregacyon be my honoure not coupled: for in their wrath they slewe a man, Ꟶ in their selfe wyll they, digged downe a wall.
Gen.49.7	Cursed be their wrath, for it was shamelesse, and their fearsnes, for it was cruell. I wyll deuide them in Iacob, Ꟶ scater them in Israel.
Gen.49.8	Iuda thou art he, whom thy brethren shall prayse. Thy hande shalbe in the necke of thyne enymies, thy fathers chyldren shall stoupe before the.
Gen.49.9	Iuda is a lyons whelpe, From thy spoyle my sonne thou art come an hye. He layde hym downe and couched hym selfe as a lyon, and as a lionesse. Who wyll stere hym vp?
Gen.49.10	The sceptre shall not departe from Iuda, and a lawgeuer from betwene hys fete, vntyll. Sylocome. And vnto hym shall the gatherynge of the people be.
Gen.49.11	He shall bynde his fole vnto the vyne, and hys asses colt vnto the braunche. He washed hys garment in wyne, and hys mantell in the bloude of grapes.
Gen.49.12	Hys eyes are redder than wyne, Ꟶ his teeth whytter then mylke.
Gen.49.13	zabulon shall dwell besyde the heauen of the see and nye the heauen of shyppes. His border shalbe vnto Sydon.
Gen.49.14	Isachar a stronge asse couchynge hym downe betwene .ij. bordens,
Gen.49.15	and sawe that rest was good, Ꟶ the lande that it was pleasant, and bowed hys shulder to beare, and became a seruaunte vnto tribute.
Gen.49.16	Dan shall iudge hys people Ꟶ the trybes of Israel
Gen.49.17	Dan shalbe a serpent in the waye, an edder in the path, bytinge the horse heles and hys ryder fell bacwarde:
Gen.49.18	after thy saluacyon haue I loked (o Lorde.)
Gen.49.19	Gad, an hoost of men shall ouercome him, And he shall ouercome at the last.
Gen.49.20	Of asser: his bread shalbe fat, and he shall geue pleasures for a kynge.
Gen.49.21	Nephtalim is a swyfte hynde, geuynge goodly wordes.
Gen.49.22	That florysshynge childe Ioseph, that plenteous chylde by the well syde, the daughters ran vpon the wall
Gen.49.23	They haue prouoked hym, and shot hym thrugh with dartes. The archers haue enuyed him:
Gen.49.24	But hys bowe abode fast, and the armes of hys handes were made stronge, by the handes of the myghtye God of Iacob. Out of hym shall come an herde man, a stone in Israel:
Gen.49.25	From thy fathers God which hath helped the, and with the almyghtye which hath blessed the wyth blessynges from heauen aboue, wyth blessynges of the depe that lyeth vnder, and wyth blessynges of the brestes and of the wombe.
Gen.49.26	The blessynges of thy father were stronger then the blessynges of my elders, vnto the vtmost of the hylles of the worlde, and they shalbe on the heade of Ioseph, and on the toppe of the heade of hym that was separat from his brethren.
Gen.49.27	Ben Iamin shall raueshe as a wolfe. In the mornynge he shall deuoure the praye, and at nyghte he shall deuyde the spoyle.
Gen.49.28	All these are the .xij. tribes of Israel, and thys their father spake vnto them and blessed them, euery one of them blessed he wyth a seuerall blessynge.
Gen.49.29	And he charged them, and sayde vnto them: whan I shalbe gathered vnto my people, burye me wyth my fathers, in the caue that is in the felde of Ephron the Hethyte,
Gen.49.30	in the double caue that is in the felde by the countre of Mamre in the land of Canaan. Whych felde Abraham boughte of Ephron the Hethyte for a possessyon to burye in,
Gen.49.31	where as were buryed Abraham and Sarah hys wyfe. And where as were buryed Isahac Ꟶ Rebecca his wyfe. And there I buryed Lea.
Gen.49.32	The felde and the caue that is therin, was bought of the chyldren of Heth.
Gen.49.33	And when Iacob had commaunded all that he wolde vnto hys sonnes, he plucked vp his fete vnto the bedd and dyed, and was put vnto hys people.
Gen.50.1	And Ioseph fell vpon hys fathers face, and wepte vpon hym, and kyssed hym.
Gen.50.2	And Ioseph commaunded hys seruauntes the Phisicyons, to embawme hys father, and the Phisicyons embawmed Israel
Gen.50.3	.xl. dayes longe, for so longe doth the embawmynge last, and the Egyptians bewayled hym .lxx. dayes.
