Isa.0.0	¶ The booke of the prophete Esay
Isa.59.20	But vnto Sion there shall come a redemer, and vnto them in Iacob that turne from wyckednesse, sayeth the Lorde.
Isa.59.21	I wyll make thys couenaunt wyth them (sayth the Lorde:) My sprete that is vpon the, and the wordes which I haue put in thy mouth, shall neuer go out of thy mouth, nor out of the mouth of thy chylders chyldren, from thys tyme forth for euermore worlde wythout ende sayth the Lorde.
Isa.60.1	Get the vp by tymes, Ꟶ be bryght, for thy lyght commeth, Ꟶ the glory of the Lorde is rysen vp vpon the.
Isa.60.2	For lo, whyle the darcknesse Ꟶ cloude couereth the earth and the people, the Lorde shall shewe the lyght, Ꟶ his glory shall be sene in the.
Isa.60.3	The Gentiles shall come to thy lyght, and kynges to the bryghtnes that spryngeth forth vpon the.
Isa.60.4	Lyft vp thyne eyes, Ꟶ loke rounde aboute the? All these gather themselues, Ꟶ come to the. Thy Sonnes shall come vnto the from farre, and thy daughters shall gather them selues to the on euery syde.
Isa.60.5	Then thou shalt se thys: and be gloriouse, thou shalt maruell exceadyngly, and thyne hert shalbe opened: when the abundaunce of the see shalbe conuerted vnto the (that is) when the ryches of the Gentiles shall come vnto the.
Isa.60.6	The multitude of Camels shall couer the, the dromedaries of Madian Ꟶ Epha All they of Saba shall come, bryngynge golde Ꟶ incense, Ꟶ shewinge the prayse of the Lord.
Isa.60.7	All the catell of Cedar shalbe gathered vnto the, the rammes of Nabaioth shall serue the, to be offred acceptablye vpon myne aulter, which I haue chosen, Ꟶ in the house of my glory which I haue garnyshed.
Isa.60.8	But what are these, that fle here lyke the cloudes, Ꟶ as the doues flyenge to theyr wyndowes?
Isa.60.9	The Iles also shall wayte for me, Ꟶ specially the shyppes of Tharsis: that they maye brynge thy sonnes from farre, Ꟶ theyr syluer Ꟶ their golde with them, vnto the name of the Lorde thy God, vnto the holy one of Israel, that hath glorifyed the.
Isa.60.10	Straungers shall buylde vp thy walles, Ꟶ theyr kynges shall do the seruyce. For when I was angrie, I smote the: and of my mercye, I pardoned the:
Isa.60.11	Thy gates shall stande open styll both daye and nyght, and neuer be shut: that the hooste of the Gentiles maye come, and that theyr kinges maye be brought vnto the.
Isa.60.12	For euery people and kyngdome that serueth not the, shall perysh, Ꟶ be distroyed wt vtter destructyon.
Isa.60.13	The glory of libanus shall come vnto the. The Fyrre trees, Boxes and Cedres together, to garnyshe the place of my Sanctuary, for I wyll glorifye the place of my fete.
Isa.60.14	Moreouer, those shall come knelyng vnto the, that haue vexed the: and all they that despysed the, shall fall downe at thy fote. Thou shalt be called the cytie of the Lorde, Sion the cytie of the holy one of Israel.
Isa.60.15	Because thou hast bene forsaken and hated, so that noman went thorowe the: I wyll make the gloryous for euer and euer, and ioyful thorow out all posterities:
Isa.60.16	Thou shalt sucke the mylck of the Gentiles, and kynges brestes shall fede the. And thou shalt know, that I the Lorde am thy Sauyoure and redemer, the myghty one of Iacob.
Isa.60.17	For brasse, wyll I geue the golde, and for yron syluer: for wod brasse, Ꟶ for stones yron. I will torne thyne oppressyon into peace, Ꟶ thyne exactyons into ryghteousnes.
Isa.60.18	Uiolence and robbery shall neuer be hearde of in thy lande, nether harme and destruccyon with in thy borders. Thy walles shalbe called health, and thy gates the prayse of God.
Isa.60.19	The Sunne shall neuer be thy daye lyght, and the lyght of the Moone shall neuer shyne vnto the: but the Lorde him selfe shalbe thyne euerlastyng lyght, and thy God shalbe thy glory.
Isa.60.20	Thy Sunne shall neuer go downe, and thy Moone shall not be hydde, for the Lorde hym selfe shalbe thy euerlastynge lyght, and thy sorowfull dayes shalbe ended.
Isa.60.21	Thy people shalbe all ryghteous, and possesse the lande euer: the floure of my plantynge, the worke of my handes, wherof I wyll reioyce.
Isa.60.22	Thy yongest and leest shall growe in to a thousande, and the symplest in to a stronge people. I the Lorde shall shortly bringe this thinge to passe in his tyme.
Isa.61.1	The sprete of the Lorde God is vpon me, for the Lorde hath anoynted me, and sent me, to preach good tydynges vnto the poore, that I myght bynde vp the wounded hertes, that I myght preach delyueraunce to the captyue, and open the preson to them that are bounde:
Isa.61.2	that I myght declare the acceptable yeare of the Lorde, and the daye of the vengeaunce of oure God: that I myght comforte all them that are in heuynesse,
Isa.61.3	that I myght geue vnto them that mourne in Sion, that I myght geue I saye, bewty in the steade of ashes, ioyfull oyntement for syghthinge, pleasaunt rayment for an heuy mynde: That they myght be called trees of ryghteousnesse, a plantynge of the Lorde for hym to reioyce in.
Isa.61.4	They shall buylde the longe rough wyldernes, Ꟶ sett vp the olde deserte. They shall repayre the waste places, Ꟶ soch as haue bene voyde thorowe out many generacyons.
Isa.61.5	Straungers shall stande and fede youre catel, and the Aleauntes shalbe youre plowmen Ꟶ dressers of youre vynes.
Isa.61.6	But ye shalbe named the prestes of the Lorde, and men shall call you the seruauntes of oure God. Ye shall enioye the goodes of the Gentiles, and triumphe in their substaunce.
Isa.61.7	For youre greate reprofe youe shall haue double ioye, and for shame, shalt they haue ioye of their porcyon. For they shall haue double possession in their lande, and euerlastynge ioye shalbe with them.
Isa.61.8	For I the Lorde, which loue ryght and hate robbery (though it were offred me) shall make theyr workes full of faythfulnes Ꟶ make an euerlastinge couenaunt with them.
Isa.61.9	Their sede also and their generacion shalbe knowen amonge the Gentiles, and amonge the people. All they that se them, shall knowe that they are the hye blessed sede of the Lord.
Isa.61.10	And therfore I am ioyfull in the Lorde, Ꟶ my soule reioyseth in my God. For he hath put vpon me the garment of saluacion, Ꟶ couered me with the mantle of ryghteousnes. He shall decke me lyke a brydegrome, and as a bride that hath hyr apparell vpon her.
Isa.61.11	For lyke as the grounde bryngeth forth frute, Ꟶ as the garden shoteth forth sede: So shall the Lord God cause righteousnes, and prayse to God to florysh forth, before all the Heathen.
Isa.62.1	For Sions sake therfore wyll I not holde my tunge, and for Ierusalems sake I will not ceasse: vntyll their righteousnes breake forth as the shynynge lyght, and their saluacyon as a burnynge lampe.
Isa.62.2	Then shall the Gentiles se thy ryghteousnes, and all kynges thy glory. Thou shalt be named with a newe name, which the mouth of the Lord shall shewe.
Isa.62.3	Thou shalt be a crowne in the hande of the Lorde, and a gloryous garlande in the hande of thy God.
Isa.62.4	From thys tyme forth thou shalt neuer be called the forsaken, and thy lande shall nomore be called the wildernesse. But thou shalt be called: My pleasure is in her, Ꟶ thy lande shalbe called: the maryed woman: for the Lord loueth the, Ꟶ thy lande shalbe ioyned in mariage.
Isa.62.5	And lyke as a yonge man taketh a daughter to mariage, so shall thy sonnes be maryed vnto the. And as a bryde grome is glad of hys bryde, so shall thy God reioyse ouer the.
Isa.62.6	I haue set watchmen vpon thy walles (O Ierusalem) which shall nether ceasse daye nor night to preache the Lorde. And ye also that remembre the Lorde ye shall not kepe him close,
Isa.62.7	nor leaue to speake of him, vntyll Ierusalem be sett vp, Ꟶ made the prayse of the worlde.
Isa.62.8	The Lord hath sworne by his right hande Ꟶ by his stronge arme, that from hence forth he wyll not geue thy corne to be meate for thyne enemyes, ner thy vyne (wherin thou hast laboured) to be drincke for the straungers.
Isa.62.9	But they that haue gathered in the corne, shall eate it, Ꟶ geue thanckes to the Lord: Ꟶ they that haue borne in the wyne, shall drinck it in the court of my Sanctuary.
Isa.62.10	Go you, go you thorowe the gatis, make cleane the way, make playne, make playne the fote pathe, Ꟶ take awaye the stones, out of yt Ꟶ set out a token for the people.
Isa.62.11	Beholde, the Lord proclameth vnto the endes of the worlde: tell the daughter Syon: se, thy sauyour commeth, beholde, he bringeth his treasure with him, Ꟶ his worckes go before him.
Isa.62.12	For they whom the Lord delyuereth, shalbe called the holy people: Ꟶ as for the: thou shalt be named the greatlye occupyed, Ꟶ not the forsaken cytie:
Isa.63.1	What is he thys, that cometh from Edom, wt redd coloured clothes of Bosra: (which is so costly cloth) Ꟶ cometh in so myghtylye wt all his strength. I am he that teacheth ryghtuousnes, Ꟶ am of power to helpe.
Isa.63.2	Wherfore then is thy clothynge read, Ꟶ thy rayment lyke his that treadeth in the wyne presse?
Isa.63.3	I haue troaden the presse my selfe alone, and of all people there is not one with me. Thus wyll I treade downe myne enemyes in my wrath, and set my fete vpon them in my indignacyon. And their bloude shalbe spronge vpon my cloothes, and so wyll I stayne all my rayment.
Isa.63.4	For the daye of vengeaunce is assigned in my hert, Ꟶ the yeare when my people shall be delyuered, is come.
Isa.63.5	I loked aboute me, and there was no man to shewe me eny helpe, I maruayled that no man helde me vp. Then I helde me by myne awne arme, Ꟶ my feruentnesse susteyned me.
Isa.63.6	And thus will I treade downe the people in my wrath, Ꟶ bathe them in my displeasure: and vpon the earth will I laye their strength.
Isa.63.7	I will declare the goodnesse of the Lord, ye and the prayse of the Lorde for all that he hath geuen vs, for the greate good that he hath done for Israell: which he hath gyuen them of his awne fauoure, Ꟶ accordynge to the multitude of his louynge kindnesses.
Isa.63.8	For he sayde: These no doute are my people, Ꟶ no shrinkynge chyldren, and so he was their sauyoure.
Isa.63.9	In their troubles he was also troubled wt them, and the angell that went forth from hys presence, delyuered them: Of very loue Ꟶ kyndnesse that he had vnto them, redemed he them. He hath borne them, and caryed them vp euer, sence the worlde beganne.
Isa.63.10	But after they prouoked him to wrath Ꟶ vexed his holy mynde he was their enemye, Ꟶ fought agaynst them him selfe.
Isa.63.11	Yet remembred Israell the olde tyme of Moses Ꟶ his people. sayinge wher is he that brought them from the water of the see, with them that fead his shepe? where is he that hath geuen his holy sprete amonge them?
Isa.63.12	he ledd them by the ryght hande of Moses with hys glorious arme: deuidinge the water before them (wherby he gat him selfe an euerlastinge name)
Isa.63.13	he led them in the depe, as an horse is led in the playne, that they shulde not stomble,
Isa.63.14	as a tame beast goeth in the felde: and the breath gyuen of God gyueth him rest. Thus (O God) hast thou led thy people, to make thy selfe a glorious name with all.
Isa.63.15	Loke downe then from heauen, Ꟶ beholde the dwellynge place of thy sanctuary Ꟶ thy glory. Howe is it, that thy gelousy, thy strength, the multitude of thy mercyes Ꟶ thy louynge kyndnesse, wyll not be entreated of vs?
Isa.63.16	Yet art thou our father. For Abraham knoweth vs not, nether is Israel acquaynted wt vs. But thou Lorde art our father Ꟶ redemer, Ꟶ thy name is euerlastynge.
Isa.63.17	O Lorde, wherfore hast thou led vs out of thy waye: Wherfore hast thou hardened our hertes, that we feare the not? Be at one wt vs agayne, for thy seruauntes sake and for the generacyon of thyne herytage.
Isa.63.18	Thy people hath had but lytle of thy Sanctuary in possessyon, for oure enemyes haue troden downe the holy place.
Isa.63.19	And we were thyne from the begynnynge: when thou wast not their Lorde, for they haue not called vpon thy name.
Isa.64.1	O that thou woldest cleue the heauen in sonder, Ꟶ come downe: that the mountaynes myght melte awaye at thy presence,
Isa.64.2	lyke as at an hote fyre: Ꟶ that the malicyous myght boyle, as the water doth vpon the fyre: Wherby thy name myght be knowne amonge thyne enemyes, Ꟶ that the Gentyls myght tremble before the.
Isa.64.3	When thou wroughtest wonderous straunge worckes, we loked not for them. Thou cammest downe and the hylles melt at thy presence.
Isa.64.4	For sence the begynnynge of the worlde it hath not bene hearde or perceaued, nether hath any eye sene another God besyde the: which dost so moche for them, that put their trust in the.
Isa.64.5	Thou helpest him that doth ryght wyth cherefulnesse, Ꟶ them that thyncke vpon thy wayes. But lo, thou hast bene angrye, for we offended Ꟶ haue bene euer in synne, yet shall we be saued.
Isa.64.6	We are all as an vnclene thynge, Ꟶ all oure ryghteousnes are as the clothes stayned with the floures of a woman: we fall euerychone as the leafe, for oure synnes cary vs awaye lyke the wynde.
