Jer.0.0	¶ The boke of the prophete Ieremye.
Jer.49.2	Beholde therfore, the tyme commeth, sayth the Lorde, that I wyll bring a noyse of warre into Rabah of the Ammonites: and it shall be layed on a desolate heape: and her cityes brent vp: Ꟶ the Israelites shalbe lordes ouer those that had them in possession afore, sayeth the Lorde.
Jer.49.3	Hesebon shall mourne, for Ay shalbe roted out of the grounde, sayth the Lorde. The cityes of Rabah shall crye out, and gyrde them selues with sacke cloth: they shall mourne, Ꟶ runne about the walles: for theyr king shalbe led awaye presoner: yee, his prestes and princes with hym.
Jer.49.4	Wherfore trustest thou in the valley? thy valleye hath flowed awaye, O thou fearce daughter, Ꟶ thynkest thou that thou art so safe, by reason of thy treasure, that no man shall come to the?
Jer.49.5	Beholde, I will brynge a feare vpon the, sayth the Lorde God of hostes, from all those that be about the: so that ye shalbe scatered euery man from another, and a man shall gather them together agayne that be fled.
Jer.49.6	But after that, I wyll bring the Ammonites also out of captiuyte agayne.
Jer.49.7	Upon the Edomites hath the Lorde of hoostes spoken on thys maner: Is there nomore wysdome in Theman? Is there nomore good councell amonge his people? Is theyr wysdome then turned clene to naught?
Jer.49.8	Gett you hence, turne youre backes, crepe downe into the deppe, O ye citesyns of Dedan. For I will bryng destruccion vpon Esau: yee, and the daye of hys visytatyon.
Jer.49.9	If the grapegatherers came vpon the, shulde they not leaue some grapes? If the night robbers came vpon the, shulde they not take so moch as they thought were ynough?
Jer.49.10	But I wyll make Esau bare, and discouer his secretes, so that he shall not be able to hyde them. Hys sede shalbe wasted awaye: yee, hys brethren and hys neyghbours, and he hym selfe shall not be lefte behynde.
Jer.49.11	Thou shalt leaue thy fatherlesse children behynde the, and I wyll kepe them, and thy wyddowes shall take their comforte in me.
Jer.49.12	For thus hath the Lorde spoken. Behold, they that men thought were vnmete to drinke of the cuppe, haue dronken with the fyrst: and thynkest thou then to be fre? No, no, thou shalt nether be quite nor fre: but thou must drinke also.
Jer.49.13	For why? I haue sworne by my selfe, sayth the Lorde, that Bozrah shall become a wyldernes, an open shame, a laughyng stocke and cursynge: and all her cyties shalbe a continuall deserte.
Jer.49.14	For I am perfectly informed of the Lorde that he hath sent a message allredy vnto the Heythen. Gather you together, and go forth agaynst them: make you ready to the battaylle:
Jer.49.15	for lo, I wyll make the but small amonge the Heythen, and lytell regarded amonge men.
Jer.49.16	Thy hye stomacke and the pryde of thy herte haue disceaued the, because thou wylt dwell in the holes of stony rockes, and haue the hye mountaynes in possession. Neuertheles, though thy neste were as hye as the aegles, yet wyll I cast the downe, sayeth the Lorde.
Jer.49.17	Moreouer, Idumea shalbe a wildernes: whoso goth by it, shalbe abashed, and wonder at all her myserable plages.
Jer.49.18	Lyke as Sodome, Gomor, and the cytyes that laye ther about were turned vp side downe, saith the Lord, so shall no body dwell in Idumea, and no man shall haue his habitation there.
Jer.49.19	Behold, lyke as the lyon, so shall a destroyer come vp from the pleasaunt medowes of Iordane vnto the stronge dwelling place: Ꟶ when I haue made him quiet, I will make him to fle from her: and all chosen men, will I set in araye agaynst her. Who is lyke vnto me? What is he that will stryue with me? What shepherde maye stande in my handes?
Jer.49.20	Therfore, heare the councell of the Lorde, that he hath taken vpon Idumea: and hys purpose that he hath deuysed vpon the citesyns of Theman. The leest of the flocke shall teare them in peces, Ꟶ loke what fayre thinge they haue, they shall make it waste, Ꟶ them selues also.
Jer.49.21	At the noyse of their fall, the earth shall quake the crye of their voyce shalbe heard vnto the redd see.
Jer.49.22	Beholde, the enemye shall come and fle vp hither, like as it were an aegle, Ꟶ sprede his winges vpon Bozrah. Then shall the hertes of the worthyes in Edom be as the hert of a woman trauelyng of chylde.
Jer.49.23	Upon Damascus, Hemath and Arphad shall come confusion: for they shall heare euell tydinges: they shalbe tossed to and fro lyke the see that cannot stande styll.
Jer.49.24	Damascus shalbe sore afrayed, and shall flee, tremblinge come vpon her. Sorowe Ꟶ payne shall ouertake her as a woman trauelynge of chylde.
Jer.49.25	But howe shuld so worshipfull Ꟶ glorious a citye be forsaken?
Jer.49.26	Heare therfore: her yonge men shall fall in the stretes, and all her men of warre shalbe taken awaye in that tyme, sayth the Lorde of hostes.
Jer.49.27	I wyll kyndle a fyre in the walles of Damascus, which shall consume the palace of Benhadad.
Jer.49.28	As for Cedar and the kingdom of Hazor, whom Nabuchodonosor the kyng of Babylon smote downe, the Lorde hath spoken thus vpon them: Aryse, and get you vp vnto Cedar, and destroye the people towarde the easte.
Jer.49.29	Theyr tentes and theyr flockes shall they take awaye: yee, their hangynges and their vessels. Their camels also shal they carye awaye with them. They shall crye to them: Feare is on euery syde.
Jer.49.30	Fle, get you sone awaye, creape into caues, that ye maye dwell there, O ye inhabiters of Hazor, saith the Lorde: for Nabuchodonosor the kynge of Babylon hath holden a councell concernynge you: and concluded his deuyce agaynst you.
Jer.49.31	Aryse, and get you vp agaynst yonder ryche and careles people (sayeth the Lorde) which haue nether gates nor dore barres, but dwell alone.
Jer.49.32	Their camels shalbe stollen, and the drones of theyr catell dryuen awaye. Moreouer, those wyll I scater towarde all the wyndes: and bringe them to destruccyon: yee, and that thorowe their awne familyers, sayth the Lorde.
Jer.49.33	Hazor also shall be a dwellyng for dragons, and an euerlasting wildernes: so that no body shall dwell there: and no man shall haue there his habitation.
Jer.49.34	These are the wordes that the Lorde spake to the prophete Ieremy, concerning Elam, in the begynninge of the raygne of zedekiah kynge of Iuda.
Jer.49.35	Thus sayeth the Lorde of hostes: Beholde, I wyll breake the bowe of Elam, and take awaye theyr strength:
Jer.49.36	and vpon Elam I wyll bring the foure wyndes from the foure quarters of heauen, and will scater them agaynst the same foure windes. And there shalbe no people, but some of Elam shall fle vnto them.
Jer.49.37	For I wyll cause Elam to be afrayed of theyr enemyes, and of them that seke theyr lyues: and wyll brynge vpon them the indygnation of my wrath, sayth the Lorde. And I wyll persecute them with the swearde, so longe tyll I haue brought them to naught.
Jer.49.38	I wyll sett my throne in Elam, I wyll destroye both the kynge and the prynces from thence, sayth the Lorde.
Jer.49.39	But in processe of tyme I wyll brynge Elam out of captiuyte agayne, sayth the Lorde.
Jer.50.1	The wordes that the Lorde spake vnto the prophete Ieremy, concernynge Babilon, and the lande of the Chaldees:
Jer.50.2	Preache amonge the Gentyles, let your voyce he hearde, make a token, crye out, kepe no silence, but saye: Babilon is wonne. Bel is confounded, and Merodach is ouercome. Yee, their goddes be brought to shame: and their ymages burst in peces.
Jer.50.3	For out of the north there doth come a people agaynst her: which make her lande so waste, that no body dwell therin, nether man nor beast: for they flye and departe from thence.
Jer.50.4	In those dayes and at that tyme, sayth the Lord: the chyldren of Israel shall come, they and the chyldren of Iuda, wepinge and making haste, and shall seke the Lorde their God.
Jer.50.5	They shall aske the waye to Sion, thyther shall they turne their faces, sayinge: Come and we wyll cleaue to the Lorde, in a couenaunt that neuer shalbe broken.
Jer.50.6	My people hathe bene a loste flocke, my shepherdes haue disceaued them, and haue made them go astraye vpon the hylles They haue gone frome the mountayne to the lytle hyll, and forgotten their folde.
Jer.50.7	All they that came vpon them, haue deuoured them: and theyr enemyes sayde: We haue made no faute agaynst them: for they haue displeased the Lorde: yee, euen the Lorde, which is the bewtye of theyr ryghteousnesse Ꟶ that defended their fathers.
Jer.50.8	Yet shall ye flie from Babilon, and departe out of the lande of the Chaldees, and be ye as the rammes that goo before the flocke.
Jer.50.9	For loo, I wyll wake vp an hooste of people from the northren lande, and bringe them vpon Babylon: these shall laye sege to it, and wynne it. Theyr arowes shall not mysse, lyke as a connynge archer shuteth not wronge.
Jer.50.10	And the Chaldees shalbe spoyled, and all they that spoyle them, shalbe satisfied, sayth the Lorde,
Jer.50.11	although ye were so chearfull and gladd, to treade downe myne heritage, and fulfylled youre pleasures, as the calues in the grasse, and triumphed ouer them lyke the bulles, when ye had gotten the victory.
Jer.50.12	Youre mothers shalbe sore confounded, and they that bare you, shall come to shame. She shalbe the least sett by amonge the nacions, voyde, wasted and dryed vp.
Jer.50.13	No man shalbe able to dwell there, for the feare of the Lorde, but she shalbe whole desolate. All they that go by Babylon, shall stande styll, and be abashed, and shall wondre at all her plages.
Jer.50.14	Go forth in your araye against Babilon rounde about, all ye that can handle bowes: shute at her, spare no arowes: for she hathe synned agaynst the Lorde.
Jer.50.15	Crye out: vpon her, vpon her, agaynst her rounde about: she shall yelde her selfe, her foundations shall fall and her walles shall come downe: for it shalbe the vengeaunce of the Lorde. Yee, vengeaunce shalbe taken of her, and as she hath done, so deale ye with her.
Jer.50.16	Rote out the sower from Babilon, and him that handleth the syckle in haruest. For feare of the swearde of the enemye, euery man shall gett him to hys awne people: and euery man shall flee to his awne lande.
Jer.50.17	Israel is a scatred flocke, the lyons haue dispersed them. Fyrst the king of the Assirians deuoured them, last of all this Nabuchodonosor king of Babilon hath brosed all their bones.
Jer.50.18	Therfore, thus saith the Lorde of hostes the God of Israel: Beholde, I will viset the kyng of Babylon and his kingdome as I haue visited the kyng of the Assirians,
Jer.50.19	and wyll brynge Israel agayne to his pleasaunt pasture, that he maye fede vpon Charmel and Basan, and be satisfyed vpon the mount of Ephraim and Galaad.
Jer.50.20	In those dayes and at the same tyme, sayth the Lord, yf the offence of Israel be sought for, there shall none be founde. Yf men enquere for the synne of Iuda, there shalbe none: for I wyll be mercyfull vnto them, whom I suffre to remayne ouer.
Jer.50.21	Go downe, O thou auenger, into the enemyes lande, and viset them that dwell therin: downe with them, and smyte them vpon the backes, sayth the Lorde: do according to all that I haue commaunded the.
Jer.50.22	There is gone aboute the lande a crye of a slaughter and great murther, namely on this maner.
Jer.50.23	How happeneth it, that the hammer of the whole worlde is thus broken and brosed in sonder? Howe chaunceth it, that Babilon is become a wildernesse amonge the Heythen on thys maner?
Jer.50.24	I my selfe haue layed wayte for the, and thou art taken vnawares: art thou trapped and snared: for why? thou hast prouoked the Lorde vnto anger.
Jer.50.25	The Lorde hath opened his house of ordinaunce, Ꟶ brought forth the weapens of hys wrath. For the thynge that is done in the lande of the Chaldees, it is the Lorde of hostes worcke.
Jer.50.26	Come agaynste her, for this is her ende: breake vp her chestes: threshe her as ye thresh corne: destroye her, that nothing shalbe left.
Jer.50.27	Slaye all their myghtye souldyers, and put them to death. Woo be vnto them, for the daye and tyme of their visitatyon is at hande.
Jer.50.28	Me thynke I heare allready a crye, of them that be fled and escaped out of the lande of Babilon, which shewe in Sion the vengeaunce of the Lorde our God, the vengeaunce of his temple: yee, a voyce of them, that crye agaynste Babylon.
Jer.50.29	Call vp all the archers agaynst Babilon, pitche your tentes rounde about her, that none escape. Recompence her, as she hath deserued: and accordynge as she hath done, so deale with her agayne, for she hath set vp her selfe agaynst the Lorde, agaynst the holye one of Israel.
Jer.50.30	Therfore shall her yonge men fall downe in the stretes, and all her men of warre shalbe roted out in that daye, sayth the Lorde.
